/media/storage/assembly/cov2m.fa /media/storage/assembly/ERR2756788_megahit/final.contigs.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
5685	6100	422	7	416	416	99.76	8710	2573	4.78	16.17	DL231478.1	k141_111372	
30916	31343	423	850	428	428	98.60	37971	2573	1.13	16.63	CS480537.1	k141_111372	
3884	4249	1616	1267	366	350	83.20	4776	2573	7.66	13.60	JB181528.1	k141_111372	
1	571	15036	14466	571	571	98.25	572	29219	99.83	1.95	KU552072.1	k141_146741	[CONTAINED]
2	426	15049	14625	425	425	97.41	426	29219	99.77	1.45	MH974774.1	k141_146741	[CONTAINED]
4	816	15484	14672	813	813	97.17	816	29219	99.63	2.78	JQ731783.1	k141_146741	[CONTAINED]
30388	30504	1708	1824	117	117	94.87	37971	4653	0.31	2.51	CS480537.1	k141_151669	
30505	30924	2792	3211	420	420	100.00	37971	4653	1.11	9.03	CS480537.1	k141_151669	
8275	8411	4517	4653	137	137	100.00	8710	4653	1.57	2.94	DL231478.1	k141_151669	
3677	4259	1578	2160	583	583	98.29	4776	3100	12.21	18.81	JB181528.1	k141_16013	
8428	8708	2329	2579	281	251	88.61	8710	3100	3.23	8.10	DL231478.1	k141_16013	
37234	37366	2470	2329	133	142	89.51	37971	3100	0.35	4.58	CS480537.1	k141_16013	
37234	37367	62	195	134	134	100.00	37971	330	0.35	40.61	CS480537.1	k141_16040	
8292	8660	330	1	369	330	88.89	8710	330	4.24	100.00	DL231478.1	k141_16040	[CONTAINS]
76	160	141	57	85	85	96.47	4776	698	1.78	12.18	JB181528.1	k141_187970	
17	136	120	1	120	120	98.33	573	336	20.94	35.71	DI086074.1	k141_192635	
8275	8411	137	1	137	137	100.00	8710	1116	1.57	12.28	DL231478.1	k141_198213	
76	160	141	57	85	85	96.47	4776	219	1.78	38.81	JB181528.1	k141_2346	
4994	5262	1541	1273	269	269	95.91	12573	4251	2.14	6.33	NC_001461	k141_40583	
3022	3568	1297	1843	547	547	80.80	4718	2466	11.59	22.18	NC_002077	k141_68389	
75	163	417	505	89	89	96.67	4776	637	1.86	13.97	JB181528.1	k141_95570	
