/media/storage/assembly/cov2m.fa /media/storage/assembly/SRR7287114_megahit/final.contigs.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
4102	4329	1	228	228	228	89.91	8507	228	2.68	100.00	NC_022517	k141_10107	[CONTAINS]
1903	3053	1433	2582	1151	1150	84.74	8507	2583	13.53	44.52	NC_022517	k141_10630	
4489	4944	1	456	456	456	86.21	8507	459	5.36	99.35	NC_022517	k141_12560	[CONTAINS]
1	736	1014	279	736	736	94.57	736	2866	100.00	25.68	EU663952.1	k141_14729	[CONTAINED]
1	619	1059	441	619	619	92.08	621	2866	99.68	21.60	DQ675417.1	k141_14729	[CONTAINED]
1	621	1059	439	621	621	90.98	621	2866	100.00	21.67	DQ675418.1	k141_14729	[CONTAINED]
1	931	1369	439	931	931	92.05	931	2866	100.00	32.48	KJ665798.1	k141_14729	[CONTAINED]
1	416	1823	1408	416	416	96.88	416	2866	100.00	14.52	JN687606.1	k141_14729	[CONTAINED]
1	416	1823	1408	416	416	93.75	416	2866	100.00	14.52	JN687610.1	k141_14729	[CONTAINED]
1	1131	2504	1374	1131	1131	91.89	1131	2866	100.00	39.46	GU017121.1	k141_14729	[CONTAINED]
1	1134	2504	1374	1134	1131	93.12	1134	2866	100.00	39.46	KY566205.1	k141_14729	[CONTAINED]
1	1131	2504	1374	1131	1131	91.63	1131	2866	100.00	39.46	KY566206.1	k141_14729	[CONTAINED]
6573	8925	2518	169	2353	2350	92.52	8945	2866	26.31	82.00	AB781789.1	k141_14729	
6831	9183	2518	169	2353	2350	93.75	9206	2866	25.56	82.00	AB907624.1	k141_14729	
26949	29301	2518	169	2353	2350	93.08	29306	2866	8.03	82.00	FJ938052.1	k141_14729	
2287	4554	2518	248	2268	2271	92.48	4554	2866	49.80	79.24	FJ943761.1	k141_14729	
26783	28128	2518	1176	1346	1343	92.87	29002	2866	4.64	46.86	KF530115.1	k141_14729	
26230	28576	2518	169	2347	2350	91.80	28595	2866	8.21	82.00	KX722530.1	k141_14729	
26947	29299	2518	169	2353	2350	94.65	29303	2866	8.03	82.00	KY292377.1	k141_14729	
27013	29365	2518	169	2353	2350	94.39	29440	2866	7.99	82.00	KY566209.1	k141_14729	
26904	29256	2518	169	2353	2350	93.76	29286	2866	8.03	82.00	MN165107.1	k141_14729	
5293	5600	1	308	308	308	92.86	8507	308	3.62	100.00	NC_022517	k141_15464	[CONTAINS]
4754	5427	1	674	674	674	85.63	8507	674	7.92	100.00	NC_022517	k141_17794	[CONTAINS]
4334	6158	1891	66	1825	1826	85.75	8507	2043	21.45	89.38	NC_022517	k141_18933	
1041	3340	1	2300	2300	2300	89.83	29269	19468	7.86	11.81	FJ938054.1	k141_22915	
1021	3320	1	2300	2300	2300	90.31	29253	19468	7.86	11.81	FJ938056.1	k141_22915	
1022	3321	1	2300	2300	2300	90.31	29252	19468	7.86	11.81	HQ392471.1	k141_22915	
1001	3300	1	2300	2300	2300	90.91	29222	19468	7.87	11.81	JN183883.1	k141_22915	
983	2991	1	2009	2009	2009	89.40	28457	19468	7.06	10.32	KF530270.1	k141_22915	
1021	20512	1	19468	19492	19468	93.42	29303	19468	66.52	100.00	KY292377.1	k141_22915	[CONTAINS]
1111	3410	1	2300	2300	2300	90.31	29440	19468	7.81	11.81	KY566209.1	k141_22915	
964	3250	2	2291	2287	2290	89.48	29042	19468	7.87	11.76	KX722531.1	k141_22915	
1044	20408	4	19365	19365	19362	93.16	29256	19468	66.19	99.46	EU186072.1	k141_22915	[CONTAINS]
969	3259	4	2294	2291	2291	91.10	29091	19468	7.88	11.77	KF530133.1	k141_22915	
1042	3338	4	2300	2297	2297	92.12	29286	19468	7.84	11.80	MN165107.1	k141_22915	
849	3142	7	2300	2294	2294	88.80	28984	19468	7.91	11.78	KP143507.1	k141_22915	
3387	20484	2365	19468	17098	17104	92.44	29262	19468	58.43	87.86	KU215423.1	k141_22915	
3473	20417	2424	19365	16945	16942	92.87	29298	19468	57.84	87.02	MG893511.1	k141_22915	
3355	20293	2424	19365	16939	16942	92.21	29137	19468	58.14	87.02	MH817484.1	k141_22915	
3440	20489	2425	19468	17050	17044	92.80	29274	19468	58.24	87.55	HQ012371.1	k141_22915	
3296	3891	2425	3020	596	596	89.61	28990	19468	2.06	3.06	KF530122.1	k141_22915	
3415	20355	2425	19365	16941	16941	92.83	29174	19468	58.07	87.02	KX722529.1	k141_22915	
3533	20577	2426	19467	17045	17042	93.34	29440	19468	57.90	87.54	KY566209.1	k141_22915	
3428	20451	2433	19468	17024	17036	92.41	29232	19468	58.24	87.51	FJ938051.1	k141_22915	
3435	15735	2433	14730	12301	12298	92.43	29266	19468	42.03	63.17	FJ938062.1	k141_22915	
3437	16079	2433	15075	12643	12643	92.48	29266	19468	43.20	64.94	HQ012370.1	k141_22915	
3444	20479	2436	19468	17036	17033	93.44	29286	19468	58.17	87.49	MN165107.1	k141_22915	
3458	20492	2440	19468	17035	17029	93.04	29285	19468	58.17	87.47	FJ938055.1	k141_22915	
3471	9927	2444	8900	6457	6457	87.60	29277	19468	22.05	33.17	DQ848678.1	k141_22915	
3469	20491	2446	19468	17023	17023	92.96	29253	19468	58.19	87.44	FJ938056.1	k141_22915	
3446	20474	2446	19468	17029	17023	92.70	29252	19468	58.21	87.44	HQ392471.1	k141_22915	
3431	20453	2446	19468	17023	17023	92.88	29222	19468	58.25	87.44	JN183883.1	k141_22915	
3246	18779	2446	17976	15534	15531	90.57	28984	19468	53.60	79.78	KP143507.1	k141_22915	
