/media/storage/assembly/cov2m.fa /media/storage/assembly/SRR7287110_megahit/final.contigs.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1555	2048	1	493	494	493	84.24	8507	493	5.81	100.00	NC_022517	k141_100232	[CONTAINS]
8092	8594	510	8	503	503	94.23	29174	511	1.72	98.43	KX722529.1	k141_105208	[CONTAINS]
5976	8251	4148	6429	2276	2282	81.18	8251	6434	27.58	35.47	NC_001918	k141_108281	
1909	2106	1	197	198	197	91.41	8507	7167	2.33	2.75	NC_022517	k141_108795	
2239	6158	197	4118	3920	3922	84.43	8507	7167	46.08	54.72	NC_022517	k141_108795	
3682	4175	2	495	494	494	86.64	8507	600	5.81	82.33	NC_022517	k141_111351	
1959	2160	1	202	202	202	91.58	8507	210	2.37	96.19	NC_022517	k141_119136	[CONTAINS]
5978	8251	2290	9	2274	2282	81.02	8251	4678	27.56	48.78	NC_001918	k141_119422	
3931	4767	837	1	837	837	97.13	7839	870	10.68	96.21	NC_045762	k141_119852	[CONTAINS]
2366	2678	317	5	313	313	97.76	7839	317	3.99	98.74	NC_045762	k141_121193	[CONTAINS]
2475	2810	336	1	336	336	96.13	29286	336	1.15	100.00	MN165107.1	k141_13269	[CONTAINS]
2461	4300	4351	2516	1840	1836	80.18	6706	4355	27.44	42.16	NC_025379	k141_18637	
2737	3079	5	347	343	343	96.21	7839	347	4.38	98.85	NC_045762	k141_25777	[CONTAINS]
1951	2471	1	521	521	521	88.34	8507	523	6.12	99.62	NC_022517	k141_27339	[CONTAINS]
6607	8604	1	1995	1998	1995	92.69	9206	1995	21.70	100.00	AB907624.1	k141_278	[CONTAINS]
2029	4024	1	1993	1996	1993	91.28	4608	1995	43.32	99.90	FJ917525.1	k141_278	[CONTAINS]
26696	28693	1	1995	1998	1995	91.94	29266	1995	6.83	100.00	FJ938062.1	k141_278	[CONTAINS]
2063	4054	1	1995	1992	1995	91.64	4554	1995	43.74	100.00	FJ943761.1	k141_278	[CONTAINS]
26385	28381	1	1994	1997	1994	92.64	28829	1995	6.93	99.95	KF530125.1	k141_278	[CONTAINS]
26640	28633	1	1994	1994	1994	92.09	29081	1995	6.86	99.95	KF530129.1	k141_278	[CONTAINS]
26006	27996	1	1994	1991	1994	91.19	28595	1995	6.96	99.95	KX722530.1	k141_278	[CONTAINS]
26723	28720	1	1995	1998	1995	93.09	29303	1995	6.82	100.00	KY292377.1	k141_278	[CONTAINS]
26789	28786	1	1995	1998	1995	93.04	29440	1995	6.79	100.00	KY566209.1	k141_278	[CONTAINS]
12510	14507	1	1995	1998	1995	92.60	15091	1995	13.24	100.00	MF457591.1	k141_278	[CONTAINS]
26680	28677	1	1995	1998	1995	92.50	29286	1995	6.82	100.00	MN165107.1	k141_278	[CONTAINS]
1	1134	239	1369	1134	1131	90.30	1134	1995	100.00	56.69	AB086881.1	k141_278	[CONTAINED]
1	1130	239	1368	1130	1130	89.38	1130	1995	100.00	56.64	KF435071.1	k141_278	[CONTAINED]
1	1131	239	1369	1131	1131	90.48	1131	1995	100.00	56.69	KY566206.1	k141_278	[CONTAINED]
27583	28683	895	1995	1101	1101	92.29	29262	1995	3.76	55.19	KU215423.1	k141_278	
1	266	1729	1994	266	266	94.36	736	1995	36.14	13.33	EU663952.1	k141_278	[BEGIN]
1805	2099	295	1	295	295	89.15	8507	712	3.47	41.43	NC_022517	k141_31143	
5000	5435	437	1	436	437	86.27	8507	2618	5.13	16.69	NC_022517	k141_34222	
3198	3574	377	1	377	377	96.29	7839	377	4.81	100.00	NC_045762	k141_35304	[CONTAINS]
5173	5387	297	511	215	215	91.63	8507	514	2.53	41.83	NC_022517	k141_37348	
4430	4944	2	516	515	515	87.21	8507	677	6.05	76.07	NC_022517	k141_37436	
4597	4880	293	10	284	284	89.51	8507	293	3.34	96.93	NC_022517	k141_38107	[CONTAINS]
4597	4800	2	205	204	204	89.27	8507	205	2.40	99.51	NC_022517	k141_38119	[CONTAINS]
4994	5262	1264	996	269	269	94.80	12573	2929	2.14	9.18	NC_001461	k141_42787	
4518	4733	1	216	216	216	88.94	8507	219	2.54	98.63	NC_022517	k141_45361	[CONTAINS]
2028	2506	1	479	479	479	85.62	8507	479	5.63	100.00	NC_022517	k141_47003	[CONTAINS]
28688	28984	307	11	297	297	98.32	28984	2598	1.02	11.43	JN634064.1	k141_486	
29332	30004	682	13	673	670	85.82	30004	2598	2.24	25.79	KP849472.1	k141_486	
1	736	867	132	736	736	93.61	736	2598	100.00	28.33	EU663952.1	k141_486	[CONTAINED]
1	931	1222	292	931	931	92.05	931	2598	100.00	35.84	KJ665798.1	k141_486	[CONTAINED]
4	416	1673	1261	413	413	96.85	416	2598	99.28	15.90	JN687606.1	k141_486	[CONTAINED]
1	381	1676	1296	381	381	96.33	383	2598	99.48	14.67	JN687593.1	k141_486	[CONTAINED]
1	1070	2327	1255	1070	1073	92.17	1070	2598	100.00	41.30	KY566177.1	k141_486	[CONTAINED]
1	1128	2360	1227	1128	1134	90.85	1128	2598	100.00	43.65	GU017102.1	k141_486	[CONTAINED]
1	1130	2360	1228	1130	1133	88.79	1130	2598	100.00	43.61	KF435071.1	k141_486	[CONTAINED]
26543	29042	2597	98	2500	2500	92.24	29042	2598	8.61	96.23	KX722531.1	k141_486	[CONTAINS]
5652	8230	2598	17	2579	2582	92.64	8245	2598	31.28	99.38	AB535528.1	k141_486	[CONTAINS]
6607	9188	2598	17	2582	2582	93.30	9206	2598	28.05	99.38	AB907624.1	k141_486	[CONTAINS]
